service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
119-A-Sunday-50,0,0,0,0,0,0,1,20160228,20160605
119-A-Weekday-50,1,1,1,1,1,0,0,20160229,20160610
119-A-Weekday-50-SDon,1,1,1,1,1,0,0,20160229,20160610
119-A-Weekday-50-SDon-1011100,1,0,1,1,1,0,0,20160229,20160610
119-A-Weekday-50-SDon-0100000,0,1,0,0,0,0,0,20160229,20160610
119-A-Weekday-50-SDon-1110100,1,1,1,0,1,0,0,20160229,20160610
119-A-Weekday-50-SDon-0001000,0,0,0,1,0,0,0,20160229,20160610
119-A-Saturday-50,0,0,0,0,0,1,0,20160305,20160611
119-C-Sunday-50,0,0,0,0,0,0,1,20160228,20160605
119-C-Weekday-50,1,1,1,1,1,0,0,20160229,20160610
119-C-Weekday-50-SDon,1,1,1,1,1,0,0,20160229,20160610
119-C-Weekday-50-SDon-1101100,1,1,0,1,1,0,0,20160229,20160610
119-C-Weekday-50-SDon-0010000,0,0,1,0,0,0,0,20160229,20160610
119-C-Weekday-50-SDon-1100100,1,1,0,0,1,0,0,20160229,20160610
119-C-Saturday-50,0,0,0,0,0,1,0,20160305,20160611
119-D-Sunday-51,0,0,0,0,0,0,1,20160228,20160228
119-D-Weekday-51,1,1,1,1,1,0,0,20160229,20160304
119-D-Weekday-51-SDoff,1,1,1,1,1,0,0,20160229,20160304
119-D-Weekday-51-SDon,1,1,1,1,1,0,0,20160229,20160304
119-D-Weekday-51-SDon-0010000,0,0,1,0,0,0,0,20160229,20160304
119-D-Weekday-51-SDon-1101100,1,1,0,1,1,0,0,20160229,20160304
119-D-Weekday-51-SDon-0001000,0,0,0,1,0,0,0,20160229,20160304
119-D-Weekday-51-SDon-1110100,1,1,1,0,1,0,0,20160229,20160304
119-D-Weekday-51-SDon-0011000,0,0,1,1,0,0,0,20160229,20160304
119-D-Weekday-51-SDon-0100000,0,1,0,0,0,0,0,20160229,20160304
119-D-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20160229,20160304
119-D-Weekday-51-SDon-1100100,1,1,0,0,1,0,0,20160229,20160304
119-D-Saturday-51,0,0,0,0,0,1,0,20160305,20160611
119-D-Sunday-52,0,0,0,0,0,0,1,20160306,20160605
119-D-Weekday-52,1,1,1,1,1,0,0,20160307,20160610
119-D-Weekday-52-SDoff,1,1,1,1,1,0,0,20160307,20160610
119-D-Weekday-52-SDon,1,1,1,1,1,0,0,20160307,20160610
119-D-Weekday-52-SDon-0010000,0,0,1,0,0,0,0,20160307,20160610
119-D-Weekday-52-SDon-1101100,1,1,0,1,1,0,0,20160307,20160610
119-D-Weekday-52-SDon-0001000,0,0,0,1,0,0,0,20160307,20160610
119-D-Weekday-52-SDon-1110100,1,1,1,0,1,0,0,20160307,20160610
119-D-Weekday-52-SDon-0011000,0,0,1,1,0,0,0,20160307,20160610
119-D-Weekday-52-SDon-0100000,0,1,0,0,0,0,0,20160307,20160610
119-D-Weekday-52-SDon-1011100,1,0,1,1,1,0,0,20160307,20160610
119-D-Weekday-52-SDon-1100100,1,1,0,0,1,0,0,20160307,20160610
119-S-Weekday-50,1,1,1,1,1,0,0,20160229,20160610
