fare_id,route_id,origin_id,destination_id,contains_id
"OW_Free_20160110",SCS-137,1,1,
"OW_Adult_20160110",11-139,1,1,
"OW_Adult_20160110",14-139,1,1,
"OW_Adult_20160110",16-139,1,1,
"OW_Adult_20160110",17-139,1,1,
"OW_Adult_20160110",19-139,1,1,
"OW_Adult_20160110",24-139,1,1,
"OW_Adult_20160110",25-139,1,1,
"OW_Adult_20160110",28-139,1,1,
"OW_Adult_20160110",29-139,1,1,
"OW_Adult_20160110",35-139,1,1,
"OW_Adult_20160110",37-139,1,1,
"OW_Adult_20160110",38-139,1,1,
"OW_Adult_20160110",39-139,1,1,
"OW_Adult_20160110",43-139,1,1,
"OW_Adult_20160110",46-139,1,1,
"OW_Adult_20160110",49-139,1,1,
"OW_Adult_20160110",53-139,1,1,
"OW_Adult_20160110",54-139,1,1,
"OW_Adult_20160110",55-139,1,1,
"OW_Adult_20160110",57-139,1,1,
"OW_Adult_20160110",58-139,1,1,
"OW_Adult_20160110",59-139,1,1,
"OW_Adult_20160110",60-139,1,1,
"OW_Adult_20160110",62-139,1,1,
"OW_Adult_20160110",67-139,1,1,
"OW_Adult_20160110",68-139,1,1,
"OW_Adult_20160110",72-139,1,1,
"OW_Adult_20160110",73-139,1,1,
"OW_Adult_20160110",79-139,1,1,
"OW_Adult_20160110",80-139,1,1,
"OW_Adult_20160110",82-139,1,1,
"OW_Adult_20160110",83-139,1,1,
"OW_Adult_20160110",84-139,1,1,
"OW_Adult_20160110",85-139,1,1,
"OW_Adult_20160110",86-139,1,1,
"OW_Adult_20160110",87-139,1,1,
"OW_Adult_20160110",88-139,1,1,
"OW_Adult_20160110",89-139,1,1,
"OW_Adult_20160110",95-139,1,1,
"OW_Adult_20160110",110-139,1,1,
"OW_Adult_20160110",112-139,1,1,
"OW_Adult_20160110",118-139,1,1,
"OW_Adult_20160110",120-139,1,1,
"OW_Adult_20160110",121-139,1,1,
"OW_Adult_20160110",122-139,1,1,
"OW_Adult_20160110",130-139,1,1,
"OW_Adult_20160110",131-139,1,1,
"OW_Adult_20160110",133-139,1,1,
"OW_Adult_20160110",140-139,1,1,
"OW_Adult_20160110",141-139,1,1,
"OW_Adult_20160110",250-139,1,1,
"OW_Adult_20160110",251-139,1,1,
"OW_Adult_20160110",252-139,1,1,
"OW_Adult_20160110",256-139,1,1,
"OW_Adult_20160110",260-139,1,1,
"OW_Adult_20160110",261-139,1,1,
"OW_Adult_20160110",270-139,1,1,
"OW_Adult_20160110",273-139,1,1,
"OW_Adult_20160110",274-139,1,1,
"OW_Adult_20160110",275-139,1,1,
"OW_Adult_20160110",276-139,1,1,
"OW_Adult_20160110",278-139,1,1,
"OW_Adult_20160110",280-139,1,1,
"OW_Adult_20160110",281-139,1,1,
"OW_Adult_20160110",286-139,1,1,
"OW_Adult_20160110",292-139,1,1,
"OW_Adult_20160110",294-139,1,1,
"OW_Adult_20160110",295-139,1,1,
"OW_Adult_20160110",296-139,1,1,
"OW_Adult_20160110",297-139,1,1,
"OW_Adult_20160110",397-139,1,1,
"OW_Adult_20160110",398-139,1,1,
"OW_Adult_20160110",ECR-139,1,1,
"OW_Adult_20160110",FLXP-139,1,1,
"OW_Adult_20160110",FLXS-139,1,1,
"OW_Adult_20160110",KX-139,1,1,
"OW_LocExp_20160110",292-139,2,1,
"OW_LocExp_20160110",397-139,2,1,
"OW_LocExp_20160110",KX-139,2,1,
