route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
17-139,119-A-Weekday-50,8789179-119-A-Weekday-50,"Linda Mar Park & Ride",171016,0,,170256
17-139,119-A-Weekday-50,8789180-119-A-Weekday-50,"Linda Mar Park & Ride",171014,0,,170256
17-139,119-A-Weekday-50,8789181-119-A-Weekday-50,"Linda Mar Park & Ride",171010,0,,170256
17-139,119-A-Weekday-50,8789182-119-A-Weekday-50,"Linda Mar Park & Ride",171002,0,,170214
17-139,119-A-Weekday-50,8789183-119-A-Weekday-50,"Linda Mar Park & Ride",171006,0,,170257
17-139,119-A-Weekday-50-SDon,8789184-119-A-Weekday-50-SDon,"Linda Mar Park & Ride",171908,0,,170260
17-139,119-A-Weekday-50,8789185-119-A-Weekday-50,"Linda Mar Park & Ride",171018,0,,170256
17-139,119-A-Weekday-50,8789186-119-A-Weekday-50,"Linda Mar Park & Ride",171004,0,,170256
17-139,119-A-Weekday-50,8789187-119-A-Weekday-50,"Linda Mar Park & Ride",171026,0,,170332
17-139,119-A-Weekday-50,8789188-119-A-Weekday-50,"Linda Mar Park & Ride",171038,0,,170333
17-139,119-A-Weekday-50,8789189-119-A-Weekday-50,"Linda Mar Park & Ride",171040,0,,170332
17-139,119-A-Weekday-50,8789190-119-A-Weekday-50,"Linda Mar Park & Ride",171020,0,,170332
17-139,119-A-Weekday-50,8789191-119-A-Weekday-50,"Linda Mar Park & Ride",171034,0,,170332
17-139,119-A-Weekday-50,8789192-119-A-Weekday-50,"Moonridge Apts",171039,1,,170341
17-139,119-A-Weekday-50,8789193-119-A-Weekday-50,"Moonridge Apts",171043,1,,170341
17-139,119-A-Weekday-50,8789194-119-A-Weekday-50,"Pescadero",171037,1,,170342
17-139,119-A-Weekday-50,8789195-119-A-Weekday-50,"Moonridge Apts",171041,1,,170341
17-139,119-A-Weekday-50,8789196-119-A-Weekday-50,"Moonridge Apts",171023,1,,170341
