service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1603SP-D2-Saturday-01,0,0,0,0,0,1,0,20160326,20160618
1603SP-D2-Saturday-01 -1,0,0,0,0,1,0,0,20160325,20160617
1603SP-D2-Sunday-01,0,0,0,0,0,0,1,20160320,20160612
1603SP-D2-Sunday-01 -1,0,0,0,0,0,1,0,20160319,20160611
1603SP-D2-Weekday-06,1,1,1,1,1,0,0,20160321,20160617
1603SP-D2-Weekday-06-0000100,0,0,0,0,1,0,0,20160321,20160617
1603SP-D4-Saturday-03,0,0,0,0,0,1,0,20160326,20160618
1603SP-D4-Sunday-01,0,0,0,0,0,0,1,20160320,20160612
1603SP-D4-Weekday-07,1,1,1,1,1,0,0,20160321,20160617
1603SP-D4-Weekday-07-0101000,0,1,0,1,0,0,0,20160321,20160617
1603SP-D4-Weekday-07-1010100,1,0,1,0,1,0,0,20160321,20160617
1603SP-D6-Saturday-01,0,0,0,0,0,1,0,20160326,20160618
1603SP-D6-Saturday-01 -1,0,0,0,0,1,0,0,20160325,20160617
1603SP-D6-Sunday-01,0,0,0,0,0,0,1,20160320,20160612
1603SP-D6-Sunday-01 -1,0,0,0,0,0,1,0,20160319,20160611
1603SP-D6-Weekday-03,1,1,1,1,1,0,0,20160321,20160617
1603SP-D6-Weekday-03 -1,1,1,1,1,0,0,1,20160320,20160616
1603SP-DBDB1-Weekday-01,1,1,1,1,1,0,0,20160321,20160617
