agency_id,route_id,route_short_name,route_long_name,route_type
AC Transit,1-124,1,Bayfair Bart- Dtn. Berkeley,3
AC Transit,11-123,11,Piedmont - Fruitvale Ave.,3
AC Transit,12-123,12,Dtn. Oakland /Dtn. Berkeley,3
AC Transit,14-123,14,11th Jefferson/ Fruitvale Bart,3
AC Transit,18-123,18,San Pablo & Monroe - Moraga & Mountain,3
AC Transit,1R-124,1R,Univ/Calif - BYBA,3
AC Transit,20-123,20,Fruitvale Ave /Alameda /11th M.L.K. JR WY,3
AC Transit,200-124,200,Union City BART-Newpark Mall-Fremont BART,3
AC Transit,21-123,21,Fruitvale Ave /Alameda/ Oakland Airport,3
AC Transit,210-124,210,Union Landing - Frmt. Blvd. - Ohlone,3
AC Transit,212-124,212,Fremont BART-Newpark Mall-Pacific Commons,3
AC Transit,215-124,215,Fremont BART-Mission-Warm Springs-Industrial Area,3
AC Transit,216-124,216,U.C. BART- Niles -Fremont BART-Ohlone Newark,3
AC Transit,217-124,217,Frmt BART - Mission - Milpitas - Alder,3
AC Transit,22-124,22,Hayward Bart -South Hayward Bart - Chabot,3
AC Transit,232-124,232,Fremont BART-U.C. BART-Mission-Ohlone Newark,3
AC Transit,239-124,239,Fremont BART-Warm Springs,3
AC Transit,25-123,25,El Cerrito BART-Cntr & Shatt-UC Village,3
AC Transit,251-124,251,Fremont BART-Mowry-Thornton,3
AC Transit,26-123,26,Emeryville/14th Bdwy/lLakeshore,3
AC Transit,275-124,275,U.C.BART- Thornton- Lido Faire,3
AC Transit,31-123,31,Alameda Point/ W. Oakland/MACA BART,3
AC Transit,314-123,314,Alameda Senior Shuttle,3
AC Transit,32-124,32,Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland,3
AC Transit,339-123,339,Fruitvale Bart - Chabot Observatory,3
AC Transit,356-123,356,Alameda Senior Shuttle,3
AC Transit,37-124,37,HWD. BART-WHITMAN-SO. HWD. BART,3
AC Transit,376-123,376,North Richmond Shuttle,3
AC Transit,386-124,386,Hayw. BART -  Winton (SS ONLY),3
AC Transit,39-123,39,Fruitvale Bart /Skyline High School,3
AC Transit,40-123,40,Dtn. Oakland/Bayfair Bart,3
AC Transit,45-123,45,Eastmont T. C./Foothill Sq.,3
AC Transit,46-123,46,Coliseum Bart/Knowland Zoo,3
AC Transit,46L-123,46L,Coliseum BART-Mountain -Golf Links Rd-Dunkirk Ave,3
AC Transit,47-123,47,Fruitvale Bart - Maxwell Park,3
AC Transit,48-124,48,Bayfair BART- Castro Valley- Hayward bart,3
AC Transit,49-123,49,Rockridge Bart / Dwight S.P.,3
