route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
11-123,4390685-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390686-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390687-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390688-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390689-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390690-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390691-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390692-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390693-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390694-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390695-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390696-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390697-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 LAKE MERRITT BART,0,631522,110106
11-123,4390698-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390699-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390700-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390701-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390702-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390703-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390704-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390705-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
11-123,4390706-1603SP-D2-Saturday-01,1603SP-D2-Saturday-01,11 PIEDMONT,1,631522,110107
