service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20141214-1,1,1,1,1,1,0,0,20151213,20160611
20141214-7,0,0,0,0,0,1,0,20151213,20160611
20141214-8,0,0,0,0,0,0,1,20151213,20160611
20160104-2,1,0,0,0,0,0,0,20160104,20160611
20160104-3,0,1,0,0,0,0,0,20160104,20160611
20160104-4,0,0,1,0,0,0,0,20160104,20160611
20160104-5,0,0,0,1,0,0,0,20160104,20160611
20160104-6,0,0,0,0,1,0,0,20160104,20160611
20141214-1-STG,1,1,1,1,1,0,0,20151213,20160611
20150301-7-STG,0,0,0,0,0,1,0,20151213,20160611
20150301-8-STG,0,0,0,0,0,0,1,20151213,20160611
20160119-COM-2,1,0,0,0,0,0,0,20160119,20160520
20160119-COM-3,0,1,0,0,0,0,0,20160119,20160520
20160119-COM-4,0,0,1,0,0,0,0,20160119,20160520
20160119-COM-5,0,0,0,1,0,0,0,20160119,20160520
20160119-COM-6,0,0,0,0,1,0,0,20160119,20160520
20150301-7-STG-PK,0,0,0,0,0,1,0,20160301,20160611
20150301-8-STG-PK,0,0,0,0,0,0,1,20160301,20160611
