service_id,date,exception_type
20141214-1-STG,20151224,2
20150301-8-STG,20151224,1
20141214-1-STG,20151225,2
20141214-1,20151225,2
20141214-8,20151225,1
20141214-1-STG,20151231,2
20150301-8-STG,20151231,1
20141214-1-STG,20160101,2
20141214-1,20160101,2
20141214-8,20160101,1
20141214-1-STG,20160118,2
20150301-8-STG,20160118,1
20160104-2,20160118,2
20141214-1-STG,20160215,2
20150301-8-STG,20160215,1
20160104-2,20160215,2
20141214-1,20160215,2
20141214-8,20160215,1
20150404-MWS-WH,20151128,1
20150404-MWS-WH,20151129,1
20150404-MWS-WH,20151228,1
20150404-MWS-WH,20151229,1
20150404-MWS-WH,20151230,1
20150404-MWS-WH,20151231,1
20150404-MWS-WH,20160101,1
20150404-MWS-WH,20160102,1
20150404-MWS-WH,20160103,1
20160119-COM-6,20160212,2
20160119-COM-2,20160215,2
20160119-COM-3,20160412,2
20160119-COM-4,20160413,2
20160119-COM-5,20160414,2
20160119-COM-6,20160415,2
