route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,20141214-7,20141214-219501,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219502,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219503,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219504,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219505,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219506,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219507,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219508,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219509,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219510,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219511,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219512,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219513,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219514,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219515,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219516,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219517,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219518,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219519,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219520,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219521,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219522,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219523,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219524,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219525,Tiburon,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219526,Seminary via Strawberry,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219527,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219528,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219529,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219530,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219531,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219532,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219533,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219534,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219535,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219536,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219537,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219538,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219539,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219540,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219541,Tiburon,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219542,Seminary via Strawberry,0,20141214-704,20141214-CS-2
12,20141214-8,20141214-219801,Tiburon,1,20141214-803,20141214-CS-3
12,20141214-8,20141214-219802,Seminary via Strawberry,0,20141214-803,20141214-CS-2
12,20141214-8,20141214-219803,Tiburon,1,20141214-803,20141214-CS-3
