shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,38.438656,-122.713593,0
1,38.439068,-122.712662,1
1,38.440067,-122.713402,2
1,38.440289,-122.71357,3
1,38.440418,-122.713669,4
1,38.440559,-122.713776,5
1,38.441036,-122.714134,6
1,38.441193,-122.714249,7
1,38.441216,-122.714264,8
1,38.44149,-122.71447,9
1,38.441757,-122.714653,10
1,38.442066,-122.714897,11
1,38.442238,-122.715019,12
1,38.442299,-122.715065,13
1,38.442532,-122.715233,14
1,38.442738,-122.71537,15
1,38.442837,-122.715439,16
1,38.442986,-122.715546,17
1,38.443211,-122.715706,18
1,38.443401,-122.715843,19
1,38.443802,-122.716148,20
1,38.443981,-122.716278,21
1,38.444042,-122.716316,22
1,38.44434,-122.716537,23
1,38.444653,-122.716782,24
1,38.444729,-122.716835,25
1,38.444942,-122.716995,26
1,38.445217,-122.717209,27
1,38.445377,-122.717331,28
1,38.461056,-122.716988,29
1,38.460846,-122.716965,30
1,38.460743,-122.716949,31
1,38.460602,-122.716942,32
1,38.460464,-122.716942,33
1,38.460323,-122.716942,34
1,38.460217,-122.716949,35
1,38.459621,-122.716965,36
1,38.459293,-122.716972,37
1,38.45908,-122.716988,38
1,38.45895,-122.716995,39
1,38.458794,-122.71701,40
1,38.458729,-122.71701,41
1,38.45842,-122.717026,42
1,38.457985,-122.717049,43
1,38.45763,-122.717064,44
1,38.457603,-122.717064,45
1,38.457348,-122.717072,46
1,38.456944,-122.717102,47
1,38.456581,-122.717102,48
1,38.456482,-122.717102,49
1,38.456173,-122.71711,50
1,38.455814,-122.717125,51
1,38.455311,-122.717155,52
1,38.45496,-122.717163,53
1,38.454765,-122.717171,54
1,38.454758,-122.717171,55
1,38.454712,-122.717178,56
1,38.454315,-122.717201,57
1,38.454159,-122.717216,58
1,38.454082,-122.717216,59
1,38.453819,-122.717216,60
1,38.453674,-122.717216,61
1,38.453594,-122.717216,62
1,38.453411,-122.717041,63
1,38.450726,-122.71714,64
1,38.448833,-122.717216,65
1,38.44701,-122.717339,66
1,38.446236,-122.717361,67
1,38.446091,-122.717361,68
1,38.445908,-122.717354,69
1,38.445377,-122.717331,70
1,38.470966,-122.703644,71
1,38.470951,-122.703651,72
1,38.470936,-122.703651,73
1,38.470924,-122.703659,74
1,38.470921,-122.703659,75
1,38.47065,-122.703712,76
1,38.47031,-122.703773,77
1,38.470123,-122.703804,78
1,38.470036,-122.703827,79
1,38.469975,-122.703842,80
1,38.469784,-122.703911,81
1,38.469574,-122.703979,82
1,38.469391,-122.704056,83
1,38.469379,-122.704056,84
1,38.469364,-122.704063,85
1,38.469353,-122.704071,86
1,38.469337,-122.704079,87
1,38.469326,-122.704086,88
1,38.469315,-122.704094,89
1,38.469299,-122.704102,90
1,38.469288,-122.704109,91
1,38.469276,-122.704117,92
1,38.469261,-122.704124,93
1,38.469257,-122.704124,94
1,38.46925,-122.704132,95
1,38.469238,-122.70414,96
1,38.469227,-122.704147,97
1,38.469212,-122.704163,98
1,38.4692,-122.70417,99
1,38.469189,-122.704178,100
1,38.469177,-122.704193,101
1,38.469166,-122.704201,102
1,38.469154,-122.704208,103
1,38.469143,-122.704224,104
1,38.469131,-122.704231,105
1,38.46912,-122.704247,106
1,38.469109,-122.704254,107
1,38.469097,-122.704269,108
1,38.46909,-122.704277,109
1,38.469078,-122.704292,110
1,38.469067,-122.7043,111
1,38.469055,-122.704315,112
1,38.469048,-122.70433,113
1,38.469036,-122.704338,114
1,38.469028,-122.704353,115
1,38.469017,-122.704369,116
1,38.469017,-122.704369,117
1,38.469009,-122.704384,118
1,38.468998,-122.704391,119
1,38.46899,-122.704407,120
1,38.468983,-122.704422,121
1,38.468971,-122.704437,122
1,38.468964,-122.704453,123
1,38.468956,-122.704468,124
1,38.468948,-122.704475,125
1,38.468941,-122.704491,126
1,38.468929,-122.704506,127
1,38.468922,-122.704521,128
1,38.468918,-122.704536,129
1,38.46891,-122.704552,130
1,38.468903,-122.704567,131
1,38.468895,-122.704582,132
1,38.468891,-122.704597,133
1,38.468887,-122.704597,134
1,38.468884,-122.704613,135
1,38.468876,-122.704628,136
1,38.468868,-122.704643,137
1,38.468861,-122.704666,138
1,38.468857,-122.704681,139
1,38.468849,-122.704697,140
1,38.468845,-122.704712,141
1,38.468838,-122.704727,142
1,38.468834,-122.70475,143
1,38.468826,-122.704765,144
1,38.468822,-122.704781,145
1,38.468819,-122.704803,146
1,38.468815,-122.704819,147
1,38.468811,-122.704834,148
1,38.468803,-122.704849,149
1,38.4688,-122.704872,150
1,38.4688,-122.704887,151
1,38.468796,-122.70491,152
1,38.468792,-122.704926,153
1,38.468788,-122.704941,154
1,38.468784,-122.704964,155
1,38.468781,-122.704979,156
1,38.468781,-122.704994,157
1,38.468781,-122.705002,158
1,38.468777,-122.705269,159
1,38.468769,-122.705429,160
1,38.468761,-122.705574,161
1,38.468754,-122.706116,162
1,38.46875,-122.706215,163
1,38.468742,-122.706299,164
1,38.468739,-122.706322,165
1,38.468723,-122.706421,166
1,38.468704,-122.706528,167
1,38.468685,-122.706627,168
1,38.468666,-122.706696,169
1,38.468658,-122.706718,170
1,38.468651,-122.706734,171
1,38.468563,-122.707008,172
1,38.468479,-122.707275,173
1,38.468433,-122.707428,174
1,38.468399,-122.707565,175
1,38.468353,-122.707741,176
1,38.468323,-122.707855,177
1,38.468296,-122.707977,178
1,38.468273,-122.708092,179
1,38.468254,-122.708214,180
1,38.468243,-122.708336,181
1,38.468231,-122.708466,182
1,38.468227,-122.708588,183
1,38.468224,-122.708611,184
1,38.468224,-122.708649,185
1,38.468224,-122.708733,186
1,38.468227,-122.708847,187
1,38.468235,-122.708969,188
1,38.468246,-122.709084,189
1,38.468262,-122.709206,190
1,38.468281,-122.70932,191
1,38.468288,-122.709343,192
1,38.468433,-122.709915,193
1,38.468494,-122.710175,194
1,38.468533,-122.710388,195
1,38.468552,-122.710556,196
1,38.468544,-122.710815,197
1,38.468502,-122.711052,198
1,38.468426,-122.711288,199
1,38.468311,-122.711517,200
1,38.467674,-122.7127,201
1,38.467518,-122.712982,202
1,38.467304,-122.713303,203
1,38.467239,-122.713371,204
1,38.467171,-122.71344,205
1,38.467152,-122.713463,206
1,38.467072,-122.713547,207
1,38.466991,-122.713623,208
1,38.466908,-122.713699,209
1,38.466824,-122.713768,210
1,38.466743,-122.713821,211
1,38.466736,-122.713829,212
1,38.466698,-122.71386,213
1,38.466564,-122.713951,214
1,38.466499,-122.713997,215
1,38.466309,-122.714142,216
1,38.466122,-122.714279,217
1,38.466068,-122.714325,218
1,38.466015,-122.714363,219
1,38.465958,-122.714394,220
1,38.4659,-122.714417,221
1,38.465839,-122.714439,222
1,38.465778,-122.714455,223
1,38.465717,-122.71447,224
1,38.465698,-122.71447,225
1,38.465656,-122.714478,226
1,38.465656,-122.714478,227
1,38.4655,-122.714478,228
1,38.465317,-122.714462,229
1,38.465084,-122.714439,230
1,38.465038,-122.714432,231
1,38.464741,-122.714409,232
1,38.464676,-122.714409,233
1,38.464622,-122.714401,234
1,38.464577,-122.714386,235
1,38.464527,-122.714371,236
1,38.464478,-122.714348,237
1,38.464432,-122.714317,238
1,38.46439,-122.714287,239
1,38.464348,-122.714249,240
1,38.46431,-122.714211,241
1,38.464287,-122.71418,242
1,38.464191,-122.714081,243
1,38.463993,-122.713867,244
1,38.463684,-122.713531,245
1,38.463379,-122.713196,246
1,38.463364,-122.713173,247
1,38.463177,-122.712975,248
1,38.463104,-122.712898,249
1,38.462914,-122.712692,250
1,38.462849,-122.712624,251
1,38.462826,-122.712593,252
1,38.462631,-122.712372,253
1,38.462547,-122.712646,254
1,38.462429,-122.712997,255
1,38.462303,-122.713341,256
1,38.462292,-122.713371,257
1,38.462135,-122.713829,258
1,38.462032,-122.714165,259
1,38.462009,-122.714226,260
1,38.461887,-122.714592,261
1,38.461742,-122.715042,262
1,38.461697,-122.715164,263
