stop_id,stop_name,stop_lat,stop_lon,location_type
1,Santa Rosa Junior College,38.453194,-122.717285,0
2,Sutter Hospital,38.468216,-122.707825,0
3,Round Barn Blvd,38.479164,-122.723106,0
4,Kaiser Hospital,38.472481,-122.725761,0
5,Santa Rosa Transit Mall,38.43869,-122.713715,0
6,Montgomery Village,38.444778,-122.686287,0
8,Bennett Valley Shopping Center,38.426273,-122.666687,0
9,West 9 St & Dutton Ave,38.441689,-122.728546,0
10,Westside Transit Center,38.444843,-122.751862,0
11,West College Ave & Dutton Rd,38.446785,-122.730431,0
13,Montecito Center,38.475506,-122.673027,0
14,St. Francis Shopping Center,38.466362,-122.653671,0
15,YMCA,38.445454,-122.707176,0
16,Aston Ave & Hendley,38.4258,-122.702751,0
17,Kawana Springs Rd @ Santa Rosa Ave,38.416546,-122.711784,0
18,Southwest Community Park,38.41349,-122.733185,0
19,Senior Center,38.43066,-122.710312,0
20,West 3 St & Stony Point Rd,38.433987,-122.742813,0
21,College Ave & 4th St,38.445206,-122.70549,0
22,Roseland Shops,38.429928,-122.728745,0
23,NorthPoint Pkwy & Corporate Center,38.416039,-122.753853,0
24,Sebastopol Rd & Fresno,38.42498,-122.759689,0
25,Coddingtown Mall Transfer Center,38.457172,-122.732452,0
26,West Steele Ln & Marlow Rd,38.459908,-122.750687,0
28,Piner Rd & Marlow Rd,38.46682,-122.75135,0
29,Corby Ave & Barham,38.426559,-122.717934,0
30,Sebastopol Rd & Dutton Ave,38.430603,-122.724846,0
31,Hopper Ave & Airway,38.479633,-122.737755,0
33,Elsie Allen High School,38.401993,-122.733864,0
35,Coffey Ln & Bluebell,38.465748,-122.741623,0
36,Dutton Ave & Kingwood,38.444172,-122.730675,0
37,Colgan Ave & Santa Rosa Ave,38.421726,-122.711197,0
38,Yolanda Ave & Santa Rosa Ave,38.413216,-122.712761,0
39,Farmers Lane Plaza,38.434464,-122.687752,0
40,4th St & College Ave,38.445732,-122.703766,0
41,West College Ave & Cleveland,38.445744,-122.726204,0
43,Finley & Wright,38.419842,-122.768661,0
44,Garage,38.442753,-122.749786,0
54,Delport && West,38.424202,-122.728676,0
57,Lewis Road @ Slater Street,38.46133,-122.715904,0
58,Franklin Ave. @ Lewis Road,38.462845,-122.712509,0
60,Mendocino Ave. @ Steele Ln.,38.461643,-122.717583,0
