trip_id,route_id,service_id,trip_headsign,block_id
191_TMS382,8,1,Loop,107
439_TMS292,2,2,Loop,606
492_TMS215,6,2,Loop,607
307_TMS634,13,1,Loop,101
133_TMS33,6,1,Loop,104
609_TMS696,16,2,Loop,601
172_TMS363,8,1,Loop,108
545_TMS436,10,2,Loop,611
712_TMS466,12,3,Loop,709
653_TMS519,3,3,Loop,704
647_TMS309,2,3,Loop,713
656_TMS522,3,3,Loop,709
20_TMS550,1,1,Loop,110
337_TMS139,14,1,Loop,119
277_TMS107,12,1,Loop,115
252_TMS82,11,1,Loop,119
579_TMS232,12,2,Loop,604
67_TMS500,3,1,Loop,116
442_TMS295,2,2,Loop,606
669_TMS334,6,3,Loop,705
268_TMS98,11,1,Loop,118
391_TMS165,17,1,Loop,122
322_TMS649,13,1,Loop,104
495_TMS218,6,2,Loop,607
730_TMS485,17,3,Loop,702
625_TMS255,17,2,Loop,615
398_TMS172,17,1,Loop,122
1_TMS531,1,1,Loop,112
375_TMS680,16,1,Loop,113
465_TMS188,4,2,Loop,603
155_TMS342,7,1,Loop,112
118_TMS20,5,1,Loop,101
383_TMS688,16,1,Loop,113
388_TMS693,16,1,Loop,106
516_TMS591,9,2,Loop,601
584_TMS631,12,2,Loop,603
180_TMS371,8,1,Loop,107
144_TMS44,6,1,Loop,112
352_TMS154,14,1,Loop,117
635_TMS744,21,2,Loop,602
317_TMS644,13,1,Loop,104
606_TMS476,14,2,Loop,609
385_TMS690,16,1,Loop,106
404_TMS710,21,1,Loop,110
650_TMS516,3,3,Loop,708
446_TMS299,2,2,Loop,612
324_TMS651,13,1,Loop,104
113_TMS15,5,1,Loop,114
715_TMS660,13,3,Loop,711
429_TMS557,1,2,Loop,602
367_TMS672,16,1,Loop,116
629_TMS738,21,2,Loop,602
478_TMS200,5,2,Loop,612
347_TMS149,14,1,Loop,118
186_TMS377,8,1,Loop,107
223_TMS54,10,1,Loop,120
340_TMS142,14,1,Loop,119
177_TMS368,8,1,Loop,108
690_TMS618,9,3,Loop,711
152_TMS339,7,1,Loop,109
348_TMS150,14,1,Loop,119
410_TMS716,21,1,Loop,110
4_TMS534,1,1,Loop,111
122_TMS23,5,1,Loop,105
403_TMS709,21,1,Loop,109
660_TMS572,5,3,Loop,706
200_TMS400,9,1,Loop,102
538_TMS429,10,2,Loop,611
109_TMS11,5,1,Loop,108
477_TMS205,5,2,Loop,606
413_TMS719,21,1,Loop,112
301_TMS131,12,1,Loop,105
247_TMS78,10,1,Loop,120
686_TMS614,9,3,Loop,708
16_TMS546,1,1,Loop,109
68_TMS501,3,1,Loop,116
240_TMS71,10,1,Loop,120
245_TMS76,10,1,Loop,120
372_TMS677,16,1,Loop,113
233_TMS64,10,1,Loop,120
302_TMS132,12,1,Loop,115
687_TMS615,9,3,Loop,712
261_TMS91,11,1,Loop,119
270_TMS100,11,1,Loop,117
263_TMS93,11,1,Loop,117
126_TMS26,6,1,Loop,101
382_TMS687,16,1,Loop,124
128_TMS28,6,1,Loop,103
160_TMS347,7,1,Loop,105
274_TMS104,11,1,Loop,118
107_TMS9,5,1,Loop,106
139_TMS39,6,1,Loop,109
611_TMS698,16,2,Loop,604
120_TMS257,5,1,Loop,115
189_TMS380,8,1,Loop,107
619_TMS706,16,2,Loop,605
156_TMS343,7,1,Loop,112
615_TMS702,16,2,Loop,601
211_TMS411,9,1,Loop,103
426_TMS732,21,1,Loop,109
206_TMS406,9,1,Loop,104
561_TMS453,11,2,Loop,611
265_TMS95,11,1,Loop,118
353_TMS155,14,1,Loop,118
115_TMS17,5,1,Loop,101
316_TMS643,13,1,Loop,101
276_TMS106,11,1,Loop,117
319_TMS646,13,1,Loop,102
626_TMS735,21,2,Loop,602
548_TMS439,10,2,Loop,611
681_TMS389,8,3,Loop,712
33_TMS270,2,1,Loop,106
633_TMS742,21,2,Loop,606
603_TMS473,14,2,Loop,609
288_TMS118,12,1,Loop,116
581_TMS233,12,2,Loop,601
116_TMS18,5,1,Loop,105
19_TMS549,1,1,Loop,109
607_TMS694,16,2,Loop,603
51_TMS288,2,1,Loop,113
